product_name	ingredients_text	proteins_100g	energy_100g	fat_100g	saturated-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	calcium_100g	categories
Classic Gravy	Turkey stock (water, cooked turkey meat including natural turkey juices, salt, maltodextrin, dried onion, sugar, nonfat dry milk, autolyzed yeast extract, turkey fat, spices, natural flavors, citric acid, disodium inosinate and disodium guanylate), water,	0.0	167.0	1.61	0.0	0.0	0.0	4.84	0.0	0.0	0.0	0.0	Meals
Luvo, Chicken Chile Verde With Black Beans & Polenta	Cooked white meat chicken (chicken breast with rib meat, water, potato starch, sea salt), water, cooked black beans, tomatoes, tomatillo, queso quesaoilla (pasteurized whole milk, salt, enzymes, cheese cultures, potato starch), tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), yellow corn meal, corn, red bell peppers, contains less than 2% of caramel color, chilli powder (dried anaheim chilies), chipotle pepper puree (chipotle pepper, citric acid), cilantro, citric acid, coriander, cumin, dehydrated garlic, dehydrated onion, garlic, green bell peppers, green chili pepper, green onion, guar gum, jalapeno peppers, jalapeno peppers (jalapeno peppers, vinegar, salt, natural flavors), lemon juice concentrate, lime juice concentrate, natural flavors, onions, orange juice concentrate, oregano, paprika, paprika extract, parmesan cheese (pasteurized part-skim milk, cheese culture, salt, enzymes), parsley, poblano peppers, potato starch, red onions, roasted pumpkin seeds (pumpkin seeds, sunflower oil), seasoning (natural flavor, potassium chloride, yeast), spices, sunflower oil, thyme, tomato paste, xanthan gum, yellow corn masa flour (yellow corn masa flour, trace of lime).	8.83	444.0	3.89	1.41	0.0	0.019	9.54	1.77	2.1	8.83	0.053	Meals
Triple Chocolate Brownie Mix  3 Types Of Chocolate	Sugar, wheat flour (wheat flour, malted barley flour), chocolate liquor (chocolate liquor, cocoa processed with alkali), cocoa (processed with alkali), semisweet chocolate (chocolate liquor, sugar, cocoa butter, soy lecithin [an emulsifier], vanilla), milk chocolate (sugar chocolate liquor, milk, cocoa butter), soy lecithin [an emulsifier], vanilla), vanilla powder, salt, coffee powder.	7.41	1703.0	7.41	3.7	0.0	0.0	81.48	62.96	7.4	7.41	0.0	Sweets
Original Kettle Cooked Potato Chips	Potatoes, canola oil, salt.	9.39	1962.0	21.13	2.35	0.0	0.0	65.73	0.0	4.7	9.39	0.0	Snacks
Vegetarian Organic Traditional Refried Beans	(vegan): organic pinto beans, filtered water, organic onions, organic high oleic safflower and/or sunflower oil, sea salt, organic garlic, organic spices.	5.38	452.0	2.31	0.0	0.0	0.0	16.92	0.77	4.6	5.38	0.046	Meals
Petite Sirah 2013	Contient des _sulfites_.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Beverages
Mango Slices	Organic mango.	2.5	1360.0	1.25	0.0	0.0	0.0	85.0	75.0	10.0	2.5	0.05	Fresh
Batavia rouge Plein champ bio Les Paysans Bio de Provence	Batavia rouge Plein champ bio Cat:2 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fresh
Spring2o, 100% Natural Spring Water, Fruit Punch	Spring water high fructose corn, syrup, citric acid, natural flavor, sodium benzoate (preservative), potassium sorbate (preservative), and potassium citrate.	0.0	142.0	0.0	0.0	0.0	0.0	8.44	8.44	0.0	0.0	0.0	Beverages
Hot Salsa	Tomatoes, peppers, onions, garlic, cilantro, lemon juice, salt and spices.	0.0	197.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.062	Meals
